Time_Index,z1_natural_gas,z1_coal,z1_nuclear,z2_natural_gas,z2_coal,z2_nuclear,z3_natural_gas,z3_coal,z4_natural_gas,z5_natural_gas,z5_coal,z6_nuclear,z6_coal,z1_solar,z1_wind,z3_solar,z3_wind,z4_solar,z4_wind,z5_solar,z7_solar,z7_wind,z6_wind,z8_solar,z82_natural_gas_1,z83_natural_gas_1,z84_natural_gas_1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5246,0,0.5246,0,0.5246,0,0,0.5246,0.5246,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5049,0,0.5049,0,0.5049,0,0,0.5049,0.5049,0,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.4734,0,0.4734,0,0.4734,0,0,0.4734,0.4734,0,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.443,0,0.443,0,0.443,0,0,0.443,0.443,0,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.4305,0,0.4305,0,0.4305,0,0,0.4305,0.4305,0,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3967,0,0.3967,0,0.3967,0,0,0.3967,0.3967,0,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.342,0,0.342,0,0.342,0,0,0.342,0.342,0,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2295,0,0.2295,0,0.2295,0,0,0.2295,0.2295,0,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0921,0.1839,0.0921,0.1839,0.0921,0.1839,0.0921,0.0921,0.1839,0.1839,0.0921,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3908,0.0605,0.3908,0.0605,0.3908,0.0605,0.3908,0.3908,0.0605,0.0605,0.3908,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5199,0.02,0.5199,0.02,0.5199,0.02,0.5199,0.5199,0.02,0.02,0.5199,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5648,0.0054,0.5648,0.0054,0.5648,0.0054,0.5648,0.5648,0.0054,0.0054,0.5648,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5842,0.0009,0.5842,0.0009,0.5842,0.0009,0.5842,0.5842,0.0009,0.0009,0.5842,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5502,0.0022,0.5502,0.0022,0.5502,0.0022,0.5502,0.5502,0.0022,0.0022,0.5502,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4342,0.0013,0.4342,0.0013,0.4342,0.0013,0.4342,0.4342,0.0013,0.0013,0.4342,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2639,0.0144,0.2639,0.0144,0.2639,0.0144,0.2639,0.2639,0.0144,0.0144,0.2639,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0101,0.0585,0.0101,0.0585,0.0101,0.0585,0.0101,0.0101,0.0585,0.0585,0.0101,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.1846,0,0.1846,0,0.1846,0,0,0.1846,0.1846,0,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.2693,0,0.2693,0,0.2693,0,0,0.2693,0.2693,0,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3721,0,0.3721,0,0.3721,0,0,0.3721,0.3721,0,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.4032,0,0.4032,0,0.4032,0,0,0.4032,0.4032,0,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.4321,0,0.4321,0,0.4321,0,0,0.4321,0.4321,0,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3869,0,0.3869,0,0.3869,0,0,0.3869,0.3869,0,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3839,0,0.3839,0,0.3839,0,0,0.3839,0.3839,0,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.3826,0,0.3826,0,0.3826,0,0,0.3826,0.3826,0,1,1,1