Period_Index,Rep_Period,Rep_Period_Index,,,Period_Index,Rep_Period,Rep_Period_Index
1,4,1,,,1,37,1
2,4,1,,,2,37,1
3,4,1,,,3,37,1
4,4,1,,,4,37,1
5,4,1,,,5,37,1
6,4,1,,,6,37,1
7,4,1,,,7,37,1
8,4,1,,,8,37,1
9,4,1,,,9,37,1
10,4,1,,,10,37,1
11,4,1,,,11,37,1
12,4,1,,,12,37,1
13,4,1,,,13,37,1
14,4,1,,,14,37,1
15,4,1,,,15,37,1
16,4,1,,,16,37,1
17,4,1,,,17,37,1
18,4,1,,,18,37,1
19,4,1,,,19,37,1
20,4,1,,,20,37,1
21,4,1,,,21,37,1
22,4,1,,,22,37,1
23,24,2,,,23,37,1
24,24,2,,,24,37,1
25,24,2,,,25,54,2
26,24,2,,,26,54,2
27,24,2,,,27,54,2
28,24,2,,,28,54,2
29,24,2,,,29,54,2
30,24,2,,,30,54,2
31,24,2,,,31,54,2
32,24,2,,,32,54,2
33,24,2,,,33,54,2
34,24,2,,,34,54,2
35,24,2,,,35,54,2
36,24,2,,,36,54,2
37,24,2,,,37,54,2
38,24,2,,,38,54,2
39,24,2,,,39,54,2
40,24,2,,,40,54,2
41,24,2,,,41,54,2
42,24,2,,,42,54,2
43,24,2,,,43,54,2
44,24,2,,,44,54,2
45,24,2,,,45,54,2
46,24,2,,,46,54,2
47,24,2,,,47,54,2
48,24,2,,,48,54,2
49,24,2,,,49,86,3
50,24,2,,,50,86,3
51,24,2,,,51,86,3
52,24,2,,,52,86,3
53,51,3,,,53,86,3
54,51,3,,,54,86,3
55,51,3,,,55,86,3
56,51,3,,,56,86,3
57,51,3,,,57,86,3
58,51,3,,,58,86,3
59,51,3,,,59,86,3
60,51,3,,,60,86,3
61,51,3,,,61,86,3
62,51,3,,,62,86,3
63,51,3,,,63,86,3
64,51,3,,,64,86,3
65,51,3,,,65,86,3
66,51,3,,,66,86,3
67,51,3,,,67,86,3
68,51,3,,,68,86,3
69,51,3,,,69,86,3
70,77,4,,,70,86,3
71,77,4,,,71,86,3
72,77,4,,,72,86,3
73,77,4,,,73,60,4
74,77,4,,,74,60,4
75,77,4,,,75,60,4
76,77,4,,,76,60,4
77,77,4,,,77,60,4
78,77,4,,,78,60,4
79,77,4,,,79,60,4
80,77,4,,,80,60,4
81,77,4,,,81,60,4
82,77,4,,,82,60,4
83,77,4,,,83,60,4
84,77,4,,,84,60,4
85,77,4,,,85,60,4
86,77,4,,,86,60,4
87,77,4,,,87,60,4
88,77,4,,,88,60,4
89,77,4,,,89,60,4
90,77,4,,,90,60,4
91,69,5,,,91,60,4
,,,,,92,60,4
,,,,,93,60,4
,,,,,94,60,4
,,,,,95,60,4
,,,,,96,60,4
,,,,,97,62,5
,,,,,98,62,5
,,,,,99,62,5
,,,,,100,62,5
,,,,,101,62,5
,,,,,102,62,5
,,,,,103,62,5
,,,,,104,62,5
,,,,,105,62,5
,,,,,106,62,5
,,,,,107,62,5
,,,,,108,62,5
,,,,,109,62,5
,,,,,110,62,5
,,,,,111,62,5
,,,,,112,62,5
,,,,,113,62,5
,,,,,114,62,5
,,,,,115,62,5
,,,,,116,62,5
,,,,,117,62,5
,,,,,118,62,5
,,,,,119,62,5
,,,,,120,62,6
,,,,,121,66,6
,,,,,122,66,6
,,,,,123,66,6
,,,,,124,66,6
,,,,,125,66,6
,,,,,126,66,6
,,,,,127,66,6
,,,,,128,66,6
,,,,,129,66,6
,,,,,130,66,6
,,,,,131,66,6
,,,,,132,66,6
,,,,,133,66,6
,,,,,134,66,6
,,,,,135,66,6
,,,,,136,66,6
,,,,,137,66,6
,,,,,138,66,6
,,,,,139,66,6
,,,,,140,66,6
,,,,,141,66,6
,,,,,142,66,6
,,,,,143,66,6
,,,,,144,66,6